0.0469	-21.3284
0.0400	-21.4966
0.0326	-21.1644
0.0470	-21.2859
0.0438	-21.4590
0.0467	-21.1985
0.0470	-21.2916
0.0418	-21.2710
0.0469	-21.2997
0.0470	-21.2820
0.0399	-21.5461
0.0391	-21.4558
0.0186	-21.5317
0.0273	-21.5974
0.0463	-21.6142
0.0464	-21.5374
0.0471	-21.0051
0.0433	-21.6869
0.0366	-21.0170
0.0462	-21.2248
0.0416	-21.3838
0.0438	-21.4549
0.0467	-21.4192
0.0474	-21.1152
0.0345	-21.4378
0.0411	-21.1405
0.0372	-21.2562
0.0462	-21.6399
0.0471	-21.2299
0.0481	-20.9963
0.0445	-21.5477
0.0444	-21.1707
0.0428	-21.0462
0.0467	-21.4217
0.0445	-21.1065
0.0448	-21.4177
0.0080	-21.2126
0.0465	-21.2875
0.0410	-21.2425
0.0464	-21.5291
0.0358	-21.2033
0.0267	-21.3287
0.0454	-21.3512
0.0448	-21.6677
0.0409	-21.2879
0.0355	-21.3909
0.0397	-21.6800
0.0450	-21.5393
0.0339	-21.5045
0.0458	-21.3853

0.0414	-21.3538
