0.050	51.29571	5.02113e+00
0.100	104.23540	6.05447e+00
0.150	179.34290	1.71052e+01
0.200	210.40049	2.12206e+01
0.250	242.47666	1.87816e+01
0.300	259.38028	1.68003e+01
0.350	247.62413	1.40809e+01
0.400	287.99525	1.89199e+01
0.450	270.62397	2.33799e+01
0.500	277.37728	2.54835e+01
0.550	283.06312	2.86821e+01
0.600	291.88025	2.43525e+01
0.650	299.13015	1.69666e+01
0.700	294.65215	2.65234e+01
0.750	308.99337	2.29952e+01
0.800	325.56758	2.09741e+01
0.850	310.94789	2.39417e+01
0.900	320.89850	2.24733e+01
0.950	314.48629	2.86562e+01
1.000	313.50854	2.95579e+01
1.050	310.22636	2.72968e+01
