0.050	2280.78255	1.26592e+02
0.100	4153.69569	6.30413e+02
0.150	6771.69643	3.70607e+02
0.200	8044.24526	6.93512e+02
0.250	8808.30430	3.64316e+02
0.300	9396.07021	4.23103e+02
0.350	9604.82767	2.48929e+02
0.400	9905.67224	2.95306e+02
0.450	10209.25538	3.82213e+02
0.500	10093.34718	5.88627e+02
0.550	10136.63515	3.31334e+02
0.600	10627.35723	5.14667e+02
0.650	10634.05008	5.99163e+02
0.700	10806.58408	6.40867e+02
0.750	10645.94638	4.80027e+02
0.800	10685.24097	6.37578e+02
0.850	10708.64446	4.98022e+02
0.900	11387.46098	5.63881e+02
0.950	10858.25431	3.26667e+02
1.000	10739.54146	4.42494e+02
1.050	10726.64427	3.81820e+02
