0.050	922.56110	3.13313e+01
0.100	1116.50611	4.90989e+01
0.150	1521.47605	1.70250e+02
0.200	1832.39735	1.37101e+02
0.250	2177.24742	1.31880e+02
0.300	2404.08674	2.20433e+02
0.350	2464.23358	1.17783e+02
0.400	2456.74277	1.72045e+02
0.450	2482.61934	1.42656e+02
0.500	2645.17034	1.90725e+02
0.550	2592.26160	1.45407e+02
0.600	2577.76688	1.58386e+02
0.650	2659.28383	1.39383e+02
0.700	2795.61609	1.78577e+02
0.750	2886.61564	1.77546e+02
0.800	2674.94739	1.82549e+02
0.850	2836.85453	2.03064e+02
0.900	2750.13040	2.44108e+02
0.950	2796.39767	1.36192e+02
1.000	2941.35529	2.04176e+02
1.050	2841.40137	1.47607e+02
