0.050	903.71935	4.04291e+01
0.100	997.65884	4.58689e+01
0.150	1175.88759	4.65367e+01
0.200	1306.47142	5.28835e+01
0.250	1446.75440	1.19549e+02
0.300	1512.56474	1.07534e+02
0.350	1554.01309	6.12121e+01
0.400	1581.36037	5.04147e+01
0.450	1611.54807	6.40302e+01
0.500	1665.67741	9.29335e+01
0.550	1661.30869	5.97704e+01
0.600	1708.78140	1.07441e+02
0.650	1664.36321	1.03178e+02
0.700	1643.25173	1.19792e+02
0.750	1671.01005	6.37018e+01
0.800	1726.20189	8.15430e+01
0.850	1734.52926	1.08902e+02
0.900	1739.45239	1.50056e+02
0.950	1780.37167	8.92887e+01
1.000	1757.74186	1.04321e+02
1.050	1730.80471	8.84497e+01
