0.2208	-3.6232
0.2983	-3.3522
0.2015	-3.3254
0.0979	-3.1671
0.1686	-3.1429
0.1752	-3.1965
0.3022	-3.1433
0.1252	-3.1937
0.1696	-3.1254
0.1514	-3.1709
0.2485	-3.1385
0.1684	-3.2654
0.1388	-3.2410
0.2328	-3.1789
0.2128	-3.1013
0.1567	-3.1903
0.2143	-3.2187
0.2741	-3.1376
0.1827	-3.2288
0.1586	-3.1523
0.1775	-3.1547
0.1904	-3.2561
0.1911	-3.1917
0.1651	-3.2091
0.1274	-3.2191
0.1634	-3.3047
0.1800	-3.2769
0.2089	-3.1117
0.2244	-3.3422
0.1938	-3.1474
0.2221	-3.1064
0.1473	-3.1894
0.2267	-3.0876
0.1320	-3.2576
0.1517	-3.0989
0.2597	-3.1962
0.2799	-3.3226
0.2339	-3.2061
0.0951	-3.0478
0.1136	-3.2558
0.3010	-3.2887
0.1621	-3.2695
0.1981	-3.2298
0.1150	-3.0431
0.2048	-3.3204
0.1683	-3.1493
0.1605	-3.2397
0.2402	-3.2884
0.2253	-3.1955
0.2147	-3.2598

0.1914	-3.2112
