0.050	45.76820	4.45287e+00
0.100	80.23437	1.16970e+01
0.150	137.65458	1.72808e+01
0.200	185.48353	2.54283e+01
0.250	243.57499	3.31523e+01
0.300	259.92614	2.72699e+01
0.350	259.94176	2.50970e+01
0.400	276.09563	2.08244e+01
0.450	277.21107	1.56747e+01
0.500	295.83022	2.22629e+01
0.550	304.02691	1.64690e+01
0.600	298.03266	1.91111e+01
0.650	307.29860	4.89462e+01
0.700	316.71917	2.65878e+01
0.750	311.65225	3.79004e+01
0.800	322.59322	2.00738e+01
0.850	308.08097	1.82506e+01
0.900	316.82127	2.03333e+01
0.950	316.37017	2.16438e+01
1.000	314.12764	1.38825e+01
1.050	316.44423	2.31462e+01
