0.050	1944.35831	9.27212e+01
0.100	3263.62399	3.45417e+02
0.150	5409.54047	3.36878e+02
0.200	7064.23824	4.47538e+02
0.250	8007.96962	6.54515e+02
0.300	8684.89372	5.59381e+02
0.350	8812.52163	3.98810e+02
0.400	9065.73875	4.81687e+02
0.450	9176.66925	5.21019e+02
0.500	9357.57582	2.60485e+02
0.550	9602.42430	4.54646e+02
0.600	10091.38327	3.60724e+02
0.650	9737.74389	5.54871e+02
0.700	10423.79240	3.75539e+02
0.750	10310.58457	4.04864e+02
0.800	10371.43602	2.29040e+02
0.850	10432.83353	4.24830e+02
0.900	10247.28580	5.94046e+02
0.950	10468.06272	4.12382e+02
1.000	10418.45575	5.50807e+02
1.050	10239.19717	2.79551e+02
