0.050	9.58606	4.61804e-01
0.100	10.15124	7.25109e-01
0.150	12.24664	5.49443e-01
0.200	13.52865	5.33895e-01
0.250	14.77717	7.89106e-01
0.300	15.85713	1.22490e+00
0.350	16.88461	1.11133e+00
0.400	17.31506	7.61077e-01
0.450	17.84966	6.25319e-01
0.500	17.82986	7.41156e-01
0.550	18.58050	8.07840e-01
0.600	18.30590	4.54022e-01
0.650	19.06303	7.44541e-01
0.700	19.36661	5.41092e-01
0.750	19.80137	6.90608e-01
0.800	19.60323	6.75867e-01
0.850	19.84849	6.11843e-01
0.900	19.40791	7.58745e-01
0.950	20.18047	1.29532e+00
1.000	20.51907	7.73995e-01
1.050	20.34776	8.96802e-01
