0.050	9.81420	4.36114e-01
0.100	11.23184	7.42379e-01
0.150	15.47793	9.73059e-01
0.200	19.81717	6.82643e-01
0.250	22.40497	1.76855e+00
0.300	24.61212	1.13596e+00
0.350	26.24074	8.80237e-01
0.400	27.14877	8.35423e-01
0.450	28.61887	1.13880e+00
0.500	29.46424	1.50628e+00
0.550	29.61586	1.03765e+00
0.600	29.84852	9.57592e-01
0.650	30.30142	1.00869e+00
0.700	30.66844	6.11514e-01
0.750	30.75587	1.34206e+00
0.800	31.59561	7.78012e-01
0.850	31.53178	1.12466e+00
0.900	31.61461	7.25625e-01
0.950	32.22279	8.27353e-01
1.000	32.28992	1.02796e+00
1.050	32.19108	5.78181e-01
