0.0100	0.0100	0.0100	0.0100	0.0002	0.0106	0.0100	0.0200	0.0106	0.0001	0.0001	0.0001	0.0006	0.0006	0.0000	0.0100	0.0006	0.0006	0.0000	0.0000	0.0000	
0.0189	0.0189	0.0189	0.0189	0.0003	0.0200	0.0189	0.0375	0.0200	0.0002	0.0002	0.0002	0.0012	0.0012	0.0001	0.0188	0.0012	0.0012	0.0001	0.0001	0.0001	
0.0267	0.0267	0.0266	0.0267	0.0004	0.0283	0.0268	0.0528	0.0283	0.0003	0.0003	0.0003	0.0017	0.0017	0.0001	0.0265	0.0017	0.0017	0.0001	0.0001	0.0001	
0.0336	0.0337	0.0334	0.0336	0.0005	0.0356	0.0337	0.0662	0.0356	0.0004	0.0004	0.0004	0.0021	0.0021	0.0001	0.0334	0.0021	0.0021	0.0001	0.0001	0.0001	
0.0398	0.0398	0.0394	0.0398	0.0006	0.0420	0.0399	0.0779	0.0420	0.0005	0.0005	0.0005	0.0024	0.0024	0.0001	0.0394	0.0024	0.0024	0.0001	0.0001	0.0001	
0.0452	0.0452	0.0446	0.0452	0.0006	0.0477	0.0453	0.0882	0.0477	0.0006	0.0006	0.0006	0.0028	0.0028	0.0001	0.0446	0.0028	0.0028	0.0001	0.0001	0.0001	
0.0499	0.0500	0.0493	0.0499	0.0007	0.0527	0.0501	0.0972	0.0527	0.0006	0.0006	0.0006	0.0030	0.0030	0.0002	0.0493	0.0030	0.0030	0.0002	0.0002	0.0002	
0.0541	0.0542	0.0533	0.0541	0.0007	0.0572	0.0543	0.1050	0.0572	0.0007	0.0007	0.0007	0.0033	0.0033	0.0002	0.0534	0.0033	0.0033	0.0002	0.0002	0.0002	
0.0578	0.0579	0.0569	0.0578	0.0007	0.0611	0.0581	0.1119	0.0611	0.0007	0.0007	0.0007	0.0035	0.0035	0.0002	0.0570	0.0035	0.0035	0.0002	0.0002	0.0002	
0.0611	0.0612	0.0600	0.0611	0.0007	0.0645	0.0614	0.1179	0.0645	0.0008	0.0008	0.0008	0.0037	0.0037	0.0002	0.0602	0.0037	0.0037	0.0002	0.0002	0.0002	
0.0640	0.0641	0.0628	0.0640	0.0007	0.0676	0.0644	0.1231	0.0676	0.0008	0.0008	0.0008	0.0038	0.0038	0.0002	0.0630	0.0038	0.0038	0.0002	0.0002	0.0002	
0.0666	0.0667	0.0652	0.0666	0.0007	0.0703	0.0670	0.1277	0.0703	0.0009	0.0009	0.0009	0.0040	0.0040	0.0002	0.0654	0.0040	0.0040	0.0002	0.0002	0.0002	
